Core0->(Core63)->Core1,48 Cycle(s),,,,,Core0->(Core63)->Core1,52 Cycle(s),,,,,Core0->(Core63)->Core1,52 Cycle(s),,,,,Core0->(Core63)->Core1,52 Cycle(s),,,,,Core0->(Core63)->Core1,48 Cycle(s),,,,,Core0->(Core63)->Core1,52 Cycle(s),,,
Core0->(Core1)->Core63,52 Cycle(s),,,,,Core0->(Core1)->Core63,56 Cycle(s),,,,,Core0->(Core1)->Core63,56 Cycle(s),,,,,Core0->(Core1)->Core63,56 Cycle(s),,,,,Core0->(Core1)->Core63,54 Cycle(s),,,,,Core0->(Core1/Core15)->Core63,58 Cycle(s),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandwidths,,,,,,Bandwidths,,,,,,Bandwidths,,,,,,Bandwidths,,,,,,Bandwidths,,,,,,Bandwidths,,,,
4 Thread(s),36135.3,12865.8,14781.9,16665,,4 Thread(s),36072.8,12843.5,14730,16615.8,,4 Thread(s),36113.4,12761.1,14810.5,16554.2,,4 Thread(s),36077.9,12734.2,14770.2,16563,,4 Thread(s),36155.7,12914.1,14753.8,16597.2,,4 Thread(s),36032.2,12886,14733.2,16607.4
8 Thread(s),72203.7,25719.6,29396,33185.8,,8 Thread(s),72138.3,25637.2,29342.7,33147,,8 Thread(s),72194,25484.7,29475.6,33015.2,,8 Thread(s),72087.4,25411.3,29427,32974.1,,8 Thread(s),71910,25789.6,29082.7,32659.4,,8 Thread(s),62424.1,25254,29009.1,32635.7
16 Thread(s),143759.8,51348.8,58171.1,65610.1,,16 Thread(s),143620.4,51184.2,58151.2,65314.1,,16 Thread(s),144005.6,50836.4,58570.4,65554.7,,16 Thread(s),143639.6,50678.1,58385.1,65103.5,,16 Thread(s),110085,50406.3,51813.2,54172.4,,16 Thread(s),58314.3,50612.4,52175.7,54543.4
32 Thread(s),284039.9,102013.4,111986.1,123253.3,,32 Thread(s),243010.5,101516.7,111578.8,124100.9,,32 Thread(s),284284.3,101165.2,111894.7,120584.2,,32 Thread(s),258842.1,100837.4,111993.9,120282.5,,32 Thread(s),102278.2,55086.3,62847.7,62647.8,,32 Thread(s),56119.2,56465.2,62259.1,61770.8
64 Thread(s),353088.4,153041.9,181278.3,188607.4,,64 Thread(s),222514.1,156602,178027.3,188447.4,,64 Thread(s),400313.8,144082.9,169457.9,179505.5,,64 Thread(s),248781.7,159002.2,174247.4,180637.9,,64 Thread(s),96805.4,63832.5,67298.1,67519.6,,64 Thread(s),58600.8,60055.2,63750.7,64096.3
128 Thread(s),331606.5,250245.7,249427,253052,,128 Thread(s),214223.5,239300.6,242772.4,247386.9,,128 Thread(s),381401.9,256569.1,257852.7,264957.9,,128 Thread(s),239367.3,251845.2,256978.5,265657.1,,128 Thread(s),95701,65700.4,68975.5,69424.5,,128 Thread(s),58168.2,61746.6,65120.6,65428.8
256 Thread(s),307596.3,246794.7,260027.9,264056.5,,256 Thread(s),199071.5,232411.7,255278,252972.5,,256 Thread(s),344562.2,273739.2,280143.1,280692.4,,256 Thread(s),226301,262769.5,276405.1,277955.4,,256 Thread(s),93083.5,65248.3,68922.4,68928.3,,256 Thread(s),56331.9,60811.1,64283.7,64600.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAM,Copy,Scale,Add,Triad,,DRAM,Copy,Scale,Add,Triad,,DRAM,Copy,Scale,Add,Triad,,DRAM,Copy,Scale,Add,Triad,,DRAM,Copy,Scale,Add,Triad,,DRAM,Copy,Scale,Add,Triad
1 Thread(s),12197.6,3209.1,3797.3,4277.2,,1 Thread(s),N/A,N/A,N/A,N/A,,1 Thread(s),12316.1,3212.5,3810.1,4280.4,,1 Thread(s),N/A,N/A,N/A,N/A,,1 Thread(s),12198.9,3215,3825.1,4286.4,,1 Thread(s),N/A,N/A,N/A,N/A
2 Thread(s),17113.7,6406.8,7584.7,8541.1,,2 Thread(s),N/A,N/A,N/A,N/A,,2 Thread(s),17109.7,6406.2,7592.8,8562.7,,2 Thread(s),N/A,N/A,N/A,N/A,,2 Thread(s),16928.4,6416.2,7634.7,8585.4,,2 Thread(s),N/A,N/A,N/A,N/A
4 Thread(s),33916.1,12816.1,15080.4,17039.8,,4 Thread(s),N/A,N/A,N/A,N/A,,4 Thread(s),33884.8,12814.1,15128.7,17050.2,,4 Thread(s),N/A,N/A,N/A,N/A,,4 Thread(s),32398,12815.6,14975,16861.1,,4 Thread(s),N/A,N/A,N/A,N/A
8 Thread(s),64087.7,25519,29548.1,32706.6,,8 Thread(s),N/A,N/A,N/A,N/A,,8 Thread(s),64313.2,25458.6,29607.9,32798,,8 Thread(s),N/A,N/A,N/A,N/A,,8 Thread(s),34702.3,23059.4,26607.5,27305.2,,8 Thread(s),N/A,N/A,N/A,N/A
16 Thread(s),70904.5,45257.8,52738.2,54256.3,,16 Thread(s),N/A,N/A,N/A,N/A,,16 Thread(s),71194.8,45428.2,52859.8,54489.4,,16 Thread(s),N/A,N/A,N/A,N/A,,16 Thread(s),34500.2,24829.6,28106.6,28162.9,,16 Thread(s),N/A,N/A,N/A,N/A
32 Thread(s),71443.5,49211.9,55850.8,55944,,32 Thread(s),N/A,N/A,N/A,N/A,,32 Thread(s),71468.4,49318.7,55875.1,56035.9,,32 Thread(s),N/A,N/A,N/A,N/A,,32 Thread(s),34460.6,24665.2,27837.2,27913.6,,32 Thread(s),N/A,N/A,N/A,N/A
64 Thread(s),70636.3,49351.6,55425.6,55558,,64 Thread(s),N/A,N/A,N/A,N/A,,64 Thread(s),70422,49136.4,55123,55471.4,,64 Thread(s),N/A,N/A,N/A,N/A,,64 Thread(s),34442.1,24645.6,27856.8,27908,,64 Thread(s),N/A,N/A,N/A,N/A
128 Thread(s),70075,48873.6,54788.8,55014.3,,128 Thread(s),N/A,N/A,N/A,N/A,,128 Thread(s),70199.9,49148.3,54904.1,55162.7,,128 Thread(s),N/A,N/A,N/A,N/A,,128 Thread(s),34168.7,24595.2,27792.3,27823,,128 Thread(s),N/A,N/A,N/A,N/A
256 Thread(s),67103.6,46916.5,52389.2,52473.6,,256 Thread(s),N/A,N/A,N/A,N/A,,256 Thread(s),67236,46903.7,52450.1,52555.8,,256 Thread(s),N/A,N/A,N/A,N/A,,256 Thread(s),33338.8,23823.3,26947.3,26996.1,,256 Thread(s),N/A,N/A,N/A,N/A
